ERPNext Item Group,Parent Item Group,Is Group,Exported Direct Items,Enabled Direct Items,Disabled Direct Items,Review Status,Matrix Row,Solution Line,Category,Dealers Max Discount %,Traders Max Discount %,Technicians Max Discount %,NGOs / Parastatals Max Discount %,Corporates Max Discount %,End Users / Retail Max Discount %,Notes,Item Name Examples
Antiscalants,Wt-Chemicals,0,23,23,0,Accepted,14,Water Treatment Chemicals & Media,Chemicals,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,Genesys LF 5L | Genesys SI 5L | Dispers 3F-Scale & Corrosion Inhibitor 25L | Pool (Stain Remover )Antistain  5lrts
Blowers,Equipments,0,12,12,0,Accepted,24,Specialized Industrial Products,Equipment,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,Norwa Blower NHBH-010-3Norwa Blower NHBH-010-36 2R8 3PH 7.5KW Double Stage(Complete With Filter Barrels and Conn6 2R8 3PH 7.5KW Double Stage | Norwa Blower NHBH-5D5-36 2R5 3PH 4.0KW Double Stage(With Filter Barrels and  connectors) | CL2R5 3kW AIR BLOWER | Norwa Blower NHBH 7D5 36 1R8 3PH 5.5KW
Borehole Accessories,Wt-Fittings And Accessories,0,53,53,0,Accepted,8,Water Pumping,Parts,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,"sockets for junction box | Adapter set 11/4"" | steam socket 2 1/2"" | Switch Fuse Unit (TPN) 32A Harvells"
BOREHOLE-,WATER PUMPING,1,0,0,0,Accepted,8,Water Pumping,Parts,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,
BOREHOLE-PARTS,SUBMERSIBLE,0,0,0,0,Accepted,8,Water Pumping,Parts,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,
Cables,All Item Groups,0,33,33,0,Accepted,32,Share Electricals& Cables,Controls & Electricals,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,Underground Cable 6MM X4 Core | Under ground Cable 4mmx3 core | Cable Joint (15-4mm) ST6 | Underground Cable 1.5MM 2 core
CATRIDGES,WT- CONSUMABLE,0,0,0,0,Accepted,11,Water Treatment,Consumables,30.0,24.0,21.6,20.52,20.52,18.468,Accepted by user: use proposed Item Group mapping for all items in this group.,
Chemical Tanks,Wt-Parts,0,12,12,0,Accepted,12,Water Treatment,Parts,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,"Tank with Agitator for CIP 5,000 | Chemical dosing tank 200L Special | Chemical dosing tank 250L | Chemical Dosing Tank Special 120L"
Chemicals,WATER TREATMENT,0,8,8,0,Accepted,14,Water Treatment Chemicals & Media,Chemicals,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,Carboxymethyl Cellulose (CMC) | Sodium Gluconate | Zinc Chloride | Labsa
Coagulants,Wt-Chemicals,0,13,13,0,Accepted,14,Water Treatment Chemicals & Media,Chemicals,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,Sudfloc  475 25l | Slurdge Conditioner 25L | Aluminium Sulphate 50kgs | Indion RS-F (Resin selective for fluoride )
Disinfectants,Wt-Chemicals,0,27,27,0,Accepted,14,Water Treatment Chemicals & Media,Chemicals,15.0,12.0,10.8,10.26,10.26,9.234,Accepted by user: use proposed Item Group mapping for all items in this group.,Calcium Hydroxide (Hydrated Lime) 25Kgs | Chlorine 65 45kg | Chlorine 65% 2kg | Chlorine 65% 20kg
Elecriticals,Wt-Parts,0,205,205,0,Accepted,32,Share Electricals& Cables,Controls & Electricals,10.0,8.0,7.2,6.84,6.84,6.156,Accepted by user: use proposed Item Group mapping for all items in this group.,Enclosure 1000*500*350mm | YDF-3 Paddle Float Switch | Electrode | Auto Cable 2mm Blue
Fasteners,Hardware,0,26,26,0,Accepted,31,Shared Piping / Hardware,Hardware,25.0,20.0,18.0,17.1,17.1,15.39,Accepted by user: use proposed Item Group mapping for all items in this group.,Coupling for 8040 Vessel DN 25 | Coupling for 8040 Vessel DN 40 | Bolts and Nuts | Wall plug 6mm
Filters and Catridges,Consumable,0,164,164,0,Accepted,11,Water Treatment,Consumables,30.0,24.0,21.6,20.52,20.52,18.468,Accepted by user: use proposed Item Group mapping for all items in this group.,"Washable Net Cartridge 20"" | Spun Filter Catridge 17"" | Block Activated Carbon 17"" | Vontron Membrane 300Gpd"
Filtration Systems,Equipments,0,0,0,0,Accepted,10,Water Treatment,Equipment,50.0,40.0,36.0,34.2,34.2,30.78,Accepted by user: use proposed Item Group mapping for all items in this group.,
